HomeTeam,AwayTeam,Year,HomeGoals,AwayGoals,TotalGoals,Result
France,Mexico,1930,4,1,5,win
Argentina,France,1930,1,0,1,win
Chile,Mexico,1930,3,0,3,win
Chile,France,1930,1,0,1,win
Argentina,Mexico,1930,6,3,9,win
Argentina,Chile,1930,3,1,4,win
Yugoslavia,Brazil,1930,2,1,3,win
Yugoslavia,Bolivia,1930,4,0,4,win
Brazil,Bolivia,1930,4,0,4,win
Romania,Peru,1930,3,1,4,win
Uruguay,Peru,1930,1,0,1,win
Uruguay,Romania,1930,4,0,4,win
United States,Belgium,1930,3,0,3,win
United States,Paraguay,1930,3,0,3,win
Paraguay,Belgium,1930,1,0,1,win
Argentina,United States,1930,6,1,7,win
Uruguay,Yugoslavia,1930,6,1,7,win
Uruguay,Argentina,1930,4,2,6,win
Spain,Brazil,1934,3,1,4,win
Hungary,Egypt,1934,4,2,6,win
Switzerland,Netherlands,1934,3,2,5,win
Italy,United States,1934,7,1,8,win
Czechoslovakia,Romania,1934,2,1,3,win
Sweden,Argentina,1934,3,2,5,win
Austria,France,1934,3,2,5,win
Germany,Belgium,1934,5,2,7,win
Austria,Hungary,1934,2,1,3,win
Italy,Spain,1934,1,1,2,draw
Germany,Sweden,1934,2,1,3,win
Czechoslovakia,Switzerland,1934,3,2,5,win
Italy,Spain,1934,1,0,1,win
Italy,Austria,1934,1,0,1,win
Czechoslovakia,Germany,1934,3,1,4,win
Germany,Austria,1934,3,2,5,win
Italy,Czechoslovakia,1934,2,1,3,win
Switzerland,Germany,1938,1,1,2,draw
Hungary,Dutch East Indies,1938,6,0,6,win
Cuba,Romania,1938,3,3,6,draw
France,Belgium,1938,3,1,4,win
Italy,Norway,1938,2,1,3,win
Brazil,Poland,1938,6,5,11,win
Czechoslovakia,Netherlands,1938,3,0,3,win
Switzerland,Germany,1938,4,2,6,win
Cuba,Romania,1938,2,1,3,win
Hungary,Switzerland,1938,2,0,2,win
Sweden,Cuba,1938,8,0,8,win
Italy,France,1938,3,1,4,win
Brazil,Czechoslovakia,1938,1,1,2,draw
Brazil,Czechoslovakia,1938,2,1,3,win
Hungary,Sweden,1938,5,1,6,win
Italy,Brazil,1938,2,1,3,win
Brazil,Sweden,1938,4,2,6,win
Italy,Hungary,1938,4,2,6,win
Brazil,Mexico,1950,4,0,4,win
Yugoslavia,Switzerland,1950,3,0,3,win
Brazil,Switzerland,1950,2,2,4,draw
Yugoslavia,Mexico,1950,4,1,5,win
Brazil,Yugoslavia,1950,2,0,2,win
Switzerland,Mexico,1950,2,1,3,win
England,Chile,1950,2,0,2,win
Spain,United States,1950,3,1,4,win
Spain,Chile,1950,2,0,2,win
United States,England,1950,1,0,1,win
Spain,England,1950,1,0,1,win
Chile,United States,1950,5,2,7,win
Sweden,Italy,1950,3,2,5,win
Sweden,Paraguay,1950,2,2,4,draw
Italy,Paraguay,1950,2,0,2,win
Uruguay,Bolivia,1950,8,0,8,win
Uruguay,Spain,1950,2,2,4,draw
Brazil,Sweden,1950,7,1,8,win
Brazil,Spain,1950,6,1,7,win
Uruguay,Sweden,1950,3,2,5,win
Sweden,Spain,1950,3,1,4,win
Uruguay,Brazil,1950,2,1,3,win
Brazil,Mexico,1954,5,0,5,win
Yugoslavia,France,1954,1,0,1,win
Brazil,Yugoslavia,1954,1,1,2,draw
France,Mexico,1954,3,2,5,win
West Germany,Turkey,1954,4,1,5,win
Hungary,South Korea,1954,9,0,9,win
Hungary,West Germany,1954,8,3,11,win
Turkey,South Korea,1954,7,0,7,win
West Germany,Turkey,1954,7,2,9,win
Uruguay,Czechoslovakia,1954,2,0,2,win
Austria,Scotland,1954,1,0,1,win
Uruguay,Scotland,1954,7,0,7,win
Austria,Czechoslovakia,1954,5,0,5,win
Switzerland,Italy,1954,2,1,3,win
England,Belgium,1954,4,4,8,draw
Italy,Belgium,1954,4,1,5,win
England,Switzerland,1954,2,0,2,win
Switzerland,Italy,1954,4,1,5,win
Austria,Switzerland,1954,7,5,12,win
Uruguay,England,1954,4,2,6,win
West Germany,Yugoslavia,1954,2,0,2,win
Hungary,Brazil,1954,4,2,6,win
West Germany,Austria,1954,6,1,7,win
Hungary,Uruguay,1954,4,2,6,win
Austria,Uruguay,1954,3,1,4,win
West Germany,Hungary,1954,3,2,5,win
Argentina,West Germany,1958,1,3,4,lose
Northern Ireland,Czechoslovakia,1958,1,0,1,win
West Germany,Czechoslovakia,1958,2,2,4,draw
Argentina,Northern Ireland,1958,3,1,4,win
West Germany,Northern Ireland,1958,2,2,4,draw
Czechoslovakia,Argentina,1958,6,1,7,win
Northern Ireland,Czechoslovakia,1958,2,1,3,win
France,Paraguay,1958,7,3,10,win
Yugoslavia,Scotland,1958,1,1,2,draw
Yugoslavia,France,1958,3,2,5,win
Paraguay,Scotland,1958,3,2,5,win
France,Scotland,1958,2,1,3,win
Paraguay,Yugoslavia,1958,3,3,6,draw
Sweden,Mexico,1958,3,0,3,win
Hungary,Wales,1958,1,1,2,draw
Mexico,Wales,1958,1,1,2,draw
Sweden,Hungary,1958,2,1,3,win
Sweden,Wales,1958,0,0,0,draw
Hungary,Mexico,1958,4,0,4,win
Wales,Hungary,1958,2,1,3,win
Brazil,Austria,1958,3,0,3,win
Soviet Union,England,1958,2,2,4,draw
Brazil,England,1958,0,0,0,draw
Soviet Union,Austria,1958,2,0,2,win
England,Austria,1958,2,2,4,draw
Brazil,Soviet Union,1958,2,0,2,win
Soviet Union,England,1958,1,0,1,win
Brazil,Wales,1958,1,0,1,win
France,Northern Ireland,1958,4,0,4,win
Sweden,Soviet Union,1958,2,0,2,win
West Germany,Yugoslavia,1958,1,0,1,win
Brazil,France,1958,5,2,7,win
Sweden,West Germany,1958,3,1,4,win
France,West Germany,1958,6,3,9,win
Brazil,Sweden,1958,5,2,7,win
Uruguay,Colombia,1962,2,1,3,win
Soviet Union,Yugoslavia,1962,2,0,2,win
Yugoslavia,Uruguay,1962,3,1,4,win
Soviet Union,Colombia,1962,4,4,8,draw
Soviet Union,Uruguay,1962,2,1,3,win
Yugoslavia,Colombia,1962,5,0,5,win
Chile,Switzerland,1962,3,1,4,win
West Germany,Italy,1962,0,0,0,draw
Chile,Italy,1962,2,0,2,win
West Germany,Switzerland,1962,2,1,3,win
West Germany,Chile,1962,2,0,2,win
Italy,Switzerland,1962,3,0,3,win
Brazil,Mexico,1962,2,0,2,win
Czechoslovakia,Spain,1962,1,0,1,win
Brazil,Czechoslovakia,1962,0,0,0,draw
